label timestamp flux energy band1 band2 band3 band4 band5 centroid rolloff flatness low_ratio high_ratio mfcc0 mfcc1 mfcc2 mfcc3 mfcc4 mfcc5 mfcc6 mfcc7 mfcc8 mfcc9 mfcc10 mfcc11 mfcc12
hat 40.172245 0.080960 0.000000 0.005419 0.025172 0.034662 0.016601 0.003716 91.560224 179.000000 0.779981 54.194274 37.159578 -271.726638 0.371425 -7.911247 0.675269 -0.723230 7.219517 -0.052842 -2.919839 -3.473507 -2.230971 -0.000000 2.230971 3.473507
hat 40.726621 0.126886 0.000000 0.018096 0.059090 0.038899 0.013633 0.004048 66.346605 133.000000 0.661532 180.955348 40.482722 -256.728906 12.844348 -12.066540 -4.073745 -7.669708 3.602276 -3.744884 0.834577 -0.346657 -2.290126 -0.000000 2.290126 0.346657
hat 41.176508 0.059994 0.000000 0.009815 0.025707 0.017154 0.010634 0.001168 69.695748 145.000000 0.803904 98.148957 11.680027 -275.393109 11.788668 -7.334708 -4.764047 -5.063854 2.842235 -1.457225 0.073194 -0.880097 -0.193772 -0.000000 0.193772 0.880097
hat 41.542222 0.183834 0.000000 0.021758 0.112746 0.039689 0.013260 0.004939 56.854512 124.000000 0.567401 217.579822 49.387511 -248.581469 15.147954 -19.170171 -4.184807 -3.639615 1.369159 -1.437441 0.065928 -1.915018 -0.793722 -0.000000 0.793722 1.915018
hat 41.965986 0.027286 0.000000 0.005053 0.014247 0.009541 0.003047 0.000525 62.464880 132.000000 0.863991 50.526593 5.252191 -290.045596 10.595234 -6.414647 -1.427390 -1.833595 1.792653 1.184440 0.126181 0.652588 -0.984595 -0.000000 0.984595 -0.652588
hat 42.340408 0.021128 0.000000 0.004013 0.008067 0.008434 0.002896 0.000868 73.592345 151.000000 0.917771 40.133856 8.675016 -298.782762 6.051622 -2.822417 -0.096707 -1.903634 2.068975 1.039777 0.818397 0.538433 -0.671123 -0.000000 0.671123 -0.538433
hat 42.778685 0.011238 0.000000 0.004226 0.005117 0.003505 0.002736 0.000409 67.599955 168.000000 0.931584 42.255154 4.085190 -302.914520 9.176607 0.980476 -1.369281 -1.590488 0.199530 1.568028 1.715257 0.102677 -0.786009 -0.000000 0.786009 -0.102677
hat 43.208254 0.143051 0.000000 0.020213 0.067082 0.036198 0.030386 0.002648 69.756424 160.000000 0.622697 202.128770 26.475355 -251.041342 10.018577 -9.949363 -6.388796 -2.287062 2.352389 -0.802674 1.831713 -2.979868 -0.925035 -0.000000 0.925035 2.979868
hat 43.649433 0.048083 0.000000 0.012860 0.028199 0.011846 0.006364 0.000738 51.290149 137.000000 0.682813 128.604055 7.382561 -273.209752 19.900733 -9.273698 -5.651223 -5.359104 0.939859 0.399529 -6.185328 -3.197875 -0.474552 -0.000000 0.474552 3.197875
hat 44.163175 0.146262 0.000000 0.014825 0.056516 0.048115 0.017463 0.021255 88.929654 214.000000 0.713825 148.251091 212.552003 -254.189460 6.015601 -9.784055 -2.108019 -2.457361 0.796554 2.106349 -4.118429 1.571154 -3.166398 -0.000000 3.166398 -1.571154
hat 44.604354 0.060410 0.000000 0.009437 0.014008 0.023577 0.016994 0.000942 89.741793 165.000000 0.807057 94.374082 9.422536 -276.144795 8.479043 4.394983 -0.995789 -5.357677 5.147868 -2.912072 -2.431132 -0.869982 -1.242112 -0.000000 1.242112 0.869982
hat 45.036825 0.325145 0.000000 0.035920 0.104357 0.119112 0.068925 0.007653 81.636694 169.000000 0.648190 359.199459 76.529690 -233.781403 6.361388 -8.243622 -5.871351 -10.351309 2.918862 1.002174 -4.311242 -0.374431 -0.407607 -0.000000 0.407607 0.374431
hat 45.437370 0.098380 0.000000 0.011683 0.036531 0.042209 0.015468 0.001432 74.370264 141.000000 0.737189 116.825688 14.321875 -264.576937 7.143391 -9.846729 -0.544165 -8.380231 2.559405 -0.729769 0.362067 -1.538019 -0.667522 -0.000000 0.667522 1.538019
hat 45.843719 0.131150 0.000000 0.016250 0.045055 0.060829 0.014064 0.008554 81.244559 174.000000 0.695477 162.497206 85.543464 -256.514595 6.184031 -8.303136 0.339058 -9.406274 0.856406 -0.029527 0.517990 0.991152 -4.324868 -0.000000 4.324868 -0.991152
hat 46.252971 0.078807 0.000000 0.014620 0.035288 0.016487 0.017217 0.003363 77.144828 178.000000 0.782070 146.204158 33.625215 -267.098091 11.846802 -5.629391 -3.584353 -2.502439 -3.869212 0.666581 2.986886 -0.528472 -3.094471 -0.000000 3.094471 0.528472
hat 46.653515 0.111618 0.000000 0.014358 0.050944 0.021789 0.018585 0.012760 79.703988 212.000000 0.714822 143.576165 127.600545 -260.655228 10.033342 -11.615008 -9.039750 -2.494792 -0.559404 1.096516 1.723424 -1.383425 -0.111803 -0.000000 0.111803 1.383425
hat 48.261497 0.010383 0.000000 0.001921 0.002078 0.003945 0.003493 0.000749 98.587010 195.000000 0.967311 19.205584 7.493271 -308.983946 3.780917 3.560466 3.900803 1.252551 1.401030 2.118466 0.163703 0.869577 0.440839 -0.000000 -0.440839 -0.869577
