label,timestamp,flux,energy,band1,band2,band3,band4,band5,centroid,rolloff,flatness,low_ratio,high_ratio,mfcc0,mfcc1,mfcc2,mfcc3,mfcc4,mfcc5,mfcc6,mfcc7,mfcc8,mfcc9,mfcc10,mfcc11,mfcc12
snare,15.355918,0.014729,0.000084,0.001503,0.003385,0.008419,0.001986,0.000179,80.483051,139.000000,0.942796,8.160813,0.972306,-308.407722,-0.263242,-0.525978,4.777519,-1.021853,1.557672,1.973554,-0.315976,0.050256,0.328597,-0.000000,-0.328597,-0.050256
snare,15.881270,0.017414,0.000144,0.002344,0.009851,0.011070,0.001637,0.000103,66.399693,115.000000,0.875265,9.591412,0.423335,-297.972822,2.217665,-6.947990,4.584852,-0.796591,0.048361,0.995446,-0.425350,0.405362,0.203875,-0.000000,-0.203875,-0.405362
snare,16.400816,0.019521,0.000180,0.003046,0.010907,0.013854,0.001023,0.000209,67.651341,113.000000,0.834438,10.890874,0.748506,-295.200160,1.121497,-6.657730,6.741015,-0.884745,1.249215,0.950081,1.029585,0.357146,-0.286860,-0.000000,0.286860,-0.357146
snare,16.908753,0.014668,0.000152,0.002326,0.007156,0.013117,0.001347,0.000085,70.654435,113.000000,0.859800,9.244056,0.338995,-299.582833,-0.155357,-4.740424,6.393098,-3.091486,-0.033767,0.992372,-0.544937,-0.006879,-0.174104,-0.000000,0.174104,0.006879
snare,17.437007,0.014345,0.000197,0.002445,0.004308,0.021048,0.003205,0.000083,85.485201,129.000000,0.824935,8.232771,0.280525,-298.561309,-2.528042,-0.553447,7.236723,-7.985224,2.158117,1.142907,-0.452934,-0.604720,0.131938,-0.000000,-0.131938,0.604720
snare,17.947846,0.012415,0.000108,0.001925,0.004879,0.009803,0.000970,0.000083,71.044890,116.000000,0.906405,9.250317,0.400495,-303.014142,1.871150,-1.584850,5.274784,-2.668047,0.140060,0.770488,-1.368086,-0.120137,-0.069323,-0.000000,0.069323,0.120137
snare,18.432562,0.013176,0.000145,0.002766,0.006747,0.013493,0.001321,0.000090,71.078645,118.000000,0.871836,11.306909,0.369284,-297.661313,3.027015,-2.623547,4.905433,-3.170515,1.898834,-0.282646,-2.818169,-0.875212,0.445296,-0.000000,-0.445296,0.875212
snare,18.937596,0.010566,0.000099,0.001464,0.004391,0.009720,0.001087,0.000092,75.542366,122.000000,0.916849,7.339364,0.461988,-306.178771,-0.927360,-2.286233,5.253033,-1.841855,0.890492,1.563917,0.129820,0.931833,0.622875,-0.000000,-0.622875,-0.931833
snare,19.425215,0.012342,0.000102,0.001408,0.005992,0.008214,0.000629,0.000072,66.714635,112.000000,0.908066,6.977927,0.356659,-304.296479,0.749386,-4.762191,4.594033,0.190662,-0.129128,-0.407687,-1.426175,0.838348,-0.271516,-0.000000,0.271516,-0.838348
snare,19.909932,0.010840,0.000088,0.001686,0.003972,0.007114,0.000743,0.000081,64.459088,115.000000,0.924688,8.977346,0.433950,-306.911539,1.407086,-2.382811,3.639420,-0.839868,1.972772,3.753446,-0.907462,-0.226220,0.810378,-0.000000,-0.810378,0.226220
snare,20.406259,0.011640,0.000124,0.003591,0.006290,0.009065,0.000834,0.000088,59.782483,110.000000,0.886754,16.019776,0.391676,-299.190964,6.014922,-2.591270,2.998742,-3.516786,0.083407,3.187368,-0.199573,0.346343,0.469956,-0.000000,-0.469956,-0.346343
snare,20.896780,0.018379,0.000137,0.002251,0.007740,0.011933,0.001080,0.000079,68.110678,114.000000,0.877431,9.486069,0.333481,-298.592305,2.857695,-4.287456,5.188805,-3.046097,-0.807503,1.030721,-1.062588,-0.249554,-0.125568,-0.000000,0.125568,0.249554
snare,21.390204,0.014844,0.000140,0.003467,0.007081,0.011289,0.001625,0.000108,66.464832,121.000000,0.878025,14.472091,0.450431,-296.716595,5.568900,-4.121649,0.811090,-6.021071,0.129414,2.408935,0.103600,1.088506,1.224520,-0.000000,-1.224520,-1.088506
snare,21.872018,0.011504,0.000129,0.002597,0.006679,0.010560,0.000754,0.000086,65.142643,110.000000,0.879897,11.330873,0.376278,-301.204063,2.175267,-3.421127,6.401385,-1.855677,-0.848086,2.395590,-0.083533,-0.310108,-0.486414,-0.000000,0.486414,0.310108
snare,22.362540,0.015842,0.000184,0.004080,0.004707,0.017401,0.001900,0.000119,74.979639,118.000000,0.832140,14.382781,0.418916,-295.496347,3.560849,0.520957,7.318459,-8.648570,-0.898564,1.901078,0.225391,1.383565,-0.225156,-0.000000,0.225156,-1.383565
