timestamp_ms,raw_rms,db_rms,onset_rate,db_spice
553500,0.000010,-99.887357,0.000000,0.000000
554000,0.000011,-99.485922,0.000000,0.000000
554500,0.000007,-102.672156,0.000000,0.000000
555000,0.000006,-103.806001,0.000000,0.000000
555500,0.000016,-95.961160,0.000000,0.000000
556000,0.000012,-98.088269,0.000000,0.000000
556500,0.000015,-96.467158,0.000000,0.000000
557000,0.000014,-97.208724,0.000000,0.000000
557500,0.000014,-97.112821,0.000000,0.000000
558000,0.000015,-96.625781,0.000000,0.000000
558500,0.000016,-95.828232,0.000000,0.000000
559000,0.000016,-95.719151,0.000000,0.000000
559500,0.000018,-95.062663,0.000000,0.000000
560000,0.000017,-95.499860,0.000000,0.000000
560500,0.000015,-96.535900,0.000000,0.000000
561000,0.000010,-100.396730,0.000000,0.000000
561500,0.000017,-95.394449,0.000000,0.000000
562000,0.000013,-97.477571,0.000000,0.000000
562500,0.000012,-98.329255,0.000000,0.000000
563000,0.000011,-99.104665,0.000000,0.000000
563500,0.000014,-97.391161,0.000000,0.000000
564000,0.000014,-97.311961,0.000000,0.000000
564500,0.000013,-97.458461,0.000000,0.000000
565000,0.000014,-96.999106,0.000000,0.000000
565500,0.000013,-97.888150,0.000000,0.000000
566000,0.000013,-97.971419,0.000000,0.000000
566500,0.000008,-101.785142,0.000000,0.000000
567000,0.000009,-101.168699,0.000000,0.000000
567500,0.000012,-98.144400,0.000000,0.000000
568000,0.000010,-99.736873,0.000000,0.000000
568500,0.000009,-100.626884,0.000000,0.000000
569000,0.000008,-102.241726,0.000000,0.000000
569500,0.000006,-104.166910,0.000000,0.000000
570000,0.000010,-99.759140,0.000000,0.000000
570500,0.000011,-99.308101,0.000000,0.000000
571000,0.000012,-98.344147,0.000000,0.000000
571500,0.000009,-100.655064,0.000000,0.000000
572000,0.000014,-97.300309,0.000000,0.000000
572500,0.000009,-100.488753,0.000000,0.000000
573000,0.000008,-102.127529,0.000000,0.000000
573500,0.000008,-102.496462,0.000000,0.000000
574000,0.000006,-104.648080,0.000000,0.000000
574500,0.000008,-102.433311,0.000000,0.000000
575000,0.000005,-105.210599,0.000000,0.000000
575500,0.000004,-107.530979,0.000000,0.000000
576000,0.000004,-108.736902,0.000000,0.000000
576500,0.000006,-104.303547,0.000000,0.000000
577000,0.000008,-102.288622,0.000000,0.000000
577500,0.000012,-98.353519,0.000000,0.000000
578000,0.000004,-108.481469,0.000000,0.000000
578500,0.000004,-108.181621,0.000000,0.000000
579000,0.000009,-101.054892,0.000000,0.000000
579500,0.000019,-94.455338,0.000000,0.000000
580000,0.000013,-97.609708,0.000000,0.000000
580500,0.000013,-97.688688,0.000000,0.000000
581000,0.000004,-108.183432,0.000000,0.000000
581500,0.000005,-106.275467,0.000000,0.000000
582000,0.000006,-103.988723,0.000000,0.000000
582500,0.000004,-107.339543,0.000000,0.000000
583000,0.000006,-104.546834,0.000000,0.000000
583500,0.000006,-104.756657,0.000000,0.000000
584000,0.000005,-105.873542,0.000000,0.000000
584500,0.000005,-105.810216,0.000000,0.000000
585000,0.000006,-103.838061,0.000000,0.000000
585500,0.000008,-101.499362,0.000000,0.000000
586000,0.000007,-103.658670,0.000000,0.000000
586500,0.000004,-108.063924,0.000000,0.000000
587000,0.000004,-108.515643,0.000000,0.000000
587500,0.000004,-108.472512,0.000000,0.000000
588000,0.000004,-109.012759,0.000000,0.000000
588500,0.000004,-109.038041,0.000000,0.000000
589000,0.000004,-109.085664,0.000000,0.000000
589500,0.000004,-109.080150,0.000000,0.000000
590000,0.000004,-109.062823,0.000000,0.000000
590500,0.000004,-107.497566,0.000000,0.000000
591000,0.000004,-108.847761,0.000000,0.000000
591500,0.000004,-107.589364,0.000000,0.000000
592000,0.000004,-108.236244,0.000000,0.000000
592500,0.000004,-108.232295,0.000000,0.000000
593000,0.000004,-108.024157,0.000000,0.000000
593500,0.000006,-104.657739,0.000000,0.000000
594000,0.000003,-109.477798,0.000000,0.000000
594500,0.000005,-105.776648,0.000000,0.000000
595000,0.000004,-109.010719,0.000000,0.000000
595500,0.000004,-108.578593,0.000000,0.000000
596000,0.000003,-109.261306,0.000000,0.000000
596500,0.000004,-108.844169,0.000000,0.000000
597000,0.000004,-108.677593,0.000000,0.000000
597500,0.000003,-109.295608,0.000000,0.000000
598000,0.000004,-108.112220,0.000000,0.000000
598500,0.000005,-106.158502,0.000000,0.000000
599000,0.000004,-108.259023,0.000000,0.000000
599500,0.000006,-104.708828,0.000000,0.000000
600000,0.000004,-108.900159,0.000000,0.000000
600500,0.000004,-108.989905,0.000000,0.000000
601000,0.000004,-109.025322,0.000000,0.000000
601500,0.000007,-103.338630,0.000000,0.000000
602000,0.000013,-97.837321,0.000000,0.000000
602500,0.000014,-96.832438,0.000000,0.000000
603000,0.000032,-90.029615,0.000000,0.000000
603500,0.000077,-82.325739,0.000000,0.000000
604000,0.000190,-74.442102,0.000000,0.022316
604500,0.000198,-74.046006,0.000000,0.038160
605000,0.000027,-91.448497,0.000000,0.000000
605500,0.000005,-106.177908,0.000000,0.000000
606000,0.000004,-109.081965,0.000000,0.000000
606500,0.000004,-108.369438,0.000000,0.000000
607000,0.000004,-107.940700,0.000000,0.000000
607500,0.000004,-107.858901,0.000000,0.000000
608000,0.000004,-107.630664,0.000000,0.000000
608500,0.000004,-108.443398,0.000000,0.000000
609000,0.000004,-108.717957,0.000000,0.000000
609500,0.000003,-109.208982,0.000000,0.000000
610000,0.000007,-102.592263,0.000000,0.000000
610500,0.000013,-97.583654,0.000000,0.000000
611000,0.000008,-101.847009,0.000000,0.000000
611500,0.000005,-105.952683,0.000000,0.000000
612000,0.000005,-106.780118,0.000000,0.000000
612500,0.000024,-92.349275,0.000000,0.000000
613000,0.000015,-96.581273,0.000000,0.000000
613500,0.000009,-100.985383,0.000000,0.000000
614000,0.000015,-96.286309,0.000000,0.000000
614500,0.000011,-99.083847,0.000000,0.000000
615000,0.000004,-108.556046,0.000000,0.000000
615500,0.000017,-95.458090,0.000000,0.000000
616000,0.000007,-103.418324,0.000000,0.000000
616500,0.000008,-101.781960,0.000000,0.000000
617000,0.000005,-105.711955,0.000000,0.000000
617500,0.000004,-108.208491,0.000000,0.000000
618000,0.000004,-108.455450,0.000000,0.000000
618500,0.000004,-108.083409,0.000000,0.000000
619000,0.000004,-108.929891,0.000000,0.000000
619500,0.000004,-108.712630,0.000000,0.000000
620000,0.000004,-108.502247,0.000000,0.000000
620500,0.000010,-99.887489,0.000000,0.000000
621000,0.000008,-102.246027,0.000000,0.000000
621500,0.000007,-103.399703,0.000000,0.000000
622000,0.000007,-102.590007,0.000000,0.000000
622500,0.000008,-102.016768,0.000000,0.000000
623000,0.000004,-107.497672,0.000000,0.000000
623500,0.000006,-104.797489,0.000000,0.000000
624000,0.000008,-101.493093,0.000000,0.000000
624500,0.000011,-99.423102,0.000000,0.000000
625000,0.000007,-103.410738,0.000000,0.000000
625500,0.000007,-103.232575,0.000000,0.000000
626000,0.000006,-104.050986,0.000000,0.000000
626500,0.000004,-107.798316,0.000000,0.000000
627000,0.000003,-109.329497,0.000000,0.000000
627500,0.000006,-104.881228,0.000000,0.000000
628000,0.000009,-101.086697,0.000000,0.000000
628500,0.000009,-101.145803,0.000000,0.000000
629000,0.000007,-102.886190,0.000000,0.000000
629500,0.000005,-105.437434,0.000000,0.000000
630000,0.000015,-96.457272,0.000000,0.000000
630500,0.000014,-97.007837,0.000000,0.000000
631000,0.000007,-103.624201,0.000000,0.000000
631500,0.000010,-100.369614,0.000000,0.000000
632000,0.000005,-106.247214,0.000000,0.000000
632500,0.000003,-109.198560,0.000000,0.000000
633000,0.000006,-104.496993,0.000000,0.000000
633500,0.000006,-105.078384,0.000000,0.000000
634000,0.000005,-106.178718,0.000000,0.000000
634500,0.000008,-102.494266,0.000000,0.000000
635000,0.000007,-103.629156,0.000000,0.000000
635500,0.000010,-99.942336,0.000000,0.000000
636000,0.000007,-102.603965,0.000000,0.000000
636500,0.000005,-105.329002,0.000000,0.000000
637000,0.000005,-105.391006,0.000000,0.000000
637500,0.000006,-104.367579,0.000000,0.000000
638000,0.000005,-106.660787,0.000000,0.000000
638500,0.000004,-107.780657,0.000000,0.000000
639000,0.000005,-106.050943,0.000000,0.000000
639500,0.000004,-107.998311,0.000000,0.000000
640000,0.000004,-107.289108,0.000000,0.000000
640500,0.000007,-103.691579,0.000000,0.000000
641000,0.000005,-105.955945,0.000000,0.000000
641500,0.000004,-108.222240,0.000000,0.000000
642000,0.000004,-108.641471,0.000000,0.000000
642500,0.000004,-108.712200,0.000000,0.000000
643000,0.000040,-88.038894,0.000000,0.000000
643500,0.000012,-98.638334,0.000000,0.000000
644000,0.000011,-99.405866,0.000000,0.000000
644500,0.000006,-104.185393,0.000000,0.000000
645000,0.000004,-107.898453,0.000000,0.000000
645500,0.000005,-105.278201,0.000000,0.000000
646000,0.000004,-108.156622,0.000000,0.000000
646500,0.000004,-108.100175,0.000000,0.000000
647000,0.000008,-102.241971,0.000000,0.000000
647500,0.000005,-106.780537,0.000000,0.000000
648000,0.000006,-104.191182,0.000000,0.000000
648500,0.000004,-107.366898,0.000000,0.000000
649000,0.000005,-106.014268,0.000000,0.000000
649500,0.000003,-109.140237,0.000000,0.000000
650000,0.000003,-109.455284,0.000000,0.000000
650500,0.000005,-106.026004,0.000000,0.000000
651000,0.000004,-107.606962,0.000000,0.000000
651500,0.000004,-107.586708,0.000000,0.000000
652000,0.000021,-93.495236,0.000000,0.000000
652500,0.000017,-95.331123,0.000000,0.000000
653000,0.000014,-96.851425,0.000000,0.000000
653500,0.000007,-102.652931,0.000000,0.000000
654000,0.000006,-103.866640,0.000000,0.000000
654500,0.000007,-103.455876,0.000000,0.000000
655000,0.000005,-106.176702,0.000000,0.000000
655500,0.000005,-105.368222,0.000000,0.000000
656000,0.000006,-105.129805,0.000000,0.000000
656500,0.000004,-108.224099,0.000000,0.000000
657000,0.000004,-108.574229,0.000000,0.000000
657500,0.000004,-108.478936,0.000000,0.000000
658000,0.000013,-98.018981,0.000000,0.000000
658500,0.000004,-108.337844,0.000000,0.000000
659000,0.000003,-109.423379,0.000000,0.000000
659500,0.000003,-109.402207,0.000000,0.000000
660000,0.000003,-109.331535,0.000000,0.000000
660500,0.000003,-109.319456,0.000000,0.000000
661000,0.000004,-109.079853,0.000000,0.000000
661500,0.000005,-106.509792,0.000000,0.000000
662000,0.000004,-107.080020,0.000000,0.000000
662500,0.000012,-98.386437,0.000000,0.000000
663000,0.000011,-99.432656,0.000000,0.000000
663500,0.000018,-94.844694,0.000000,0.000000
664000,0.000016,-96.166462,0.000000,0.000000
664500,0.000013,-97.645856,0.000000,0.000000
665000,0.000005,-106.178696,0.000000,0.000000
665500,0.000005,-106.922833,0.000000,0.000000
666000,0.000012,-98.281288,0.000000,0.000000
666500,0.000017,-95.641358,0.000000,0.000000
667000,0.000006,-104.154230,0.000000,0.000000
667500,0.000023,-92.775384,0.000000,0.000000
668000,0.000013,-97.634058,0.000000,0.000000
668500,0.000008,-102.281464,0.000000,0.000000
669000,0.000005,-106.121129,0.000000,0.000000
669500,0.000004,-107.577370,0.000000,0.000000
670000,0.000004,-108.652933,0.000000,0.000000
670500,0.000004,-108.720293,0.000000,0.000000
671000,0.000009,-100.479691,0.000000,0.000000
671500,0.000006,-103.939023,0.000000,0.000000
672000,0.000004,-107.246845,0.000000,0.000000
672500,0.000005,-106.885819,0.000000,0.000000
673000,0.000004,-107.202212,0.000000,0.000000
673500,0.000004,-107.149240,0.000000,0.000000
674000,0.000006,-103.973192,0.000000,0.000000
674500,0.000007,-103.464844,0.000000,0.000000
675000,0.000004,-107.841229,0.000000,0.000000
675500,0.000004,-108.358739,0.000000,0.000000
676000,0.000004,-109.030527,0.000000,0.000000
676500,0.000003,-109.448199,0.000000,0.000000
677000,0.000004,-107.108088,0.000000,0.000000
677500,0.000004,-108.014704,0.000000,0.000000
678000,0.000003,-109.392553,0.000000,0.000000
678500,0.000004,-108.826124,0.000000,0.000000
679000,0.000003,-109.122563,0.000000,0.000000
679500,0.000007,-102.771350,0.000000,0.000000
680000,0.000007,-103.410089,0.000000,0.000000
680500,0.000006,-104.507512,0.000000,0.000000
681000,0.000008,-102.168771,0.000000,0.000000
681500,0.000011,-98.999509,0.000000,0.000000
682000,0.000010,-99.614192,0.000000,0.000000
682500,0.000007,-103.190416,0.000000,0.000000
683000,0.000005,-105.450363,0.000000,0.000000
683500,0.000004,-108.183069,0.000000,0.000000
684000,0.000004,-108.424664,0.000000,0.000000
684500,0.000005,-105.785646,0.000000,0.000000
685000,0.000009,-101.397394,0.000000,0.000000
685500,0.000005,-105.404604,0.000000,0.000000
686000,0.000004,-108.274554,0.000000,0.000000
686500,0.000003,-109.445408,0.000000,0.000000
687000,0.000003,-109.377489,0.000000,0.000000
687500,0.000004,-108.871095,0.000000,0.000000
688000,0.000004,-108.881856,0.000000,0.000000
688500,0.000004,-108.909196,0.000000,0.000000
689000,0.000003,-109.219348,0.000000,0.000000
689500,0.000003,-109.240383,0.000000,0.000000
690000,0.000003,-109.405422,0.000000,0.000000
690500,0.000011,-99.545172,0.000000,0.000000
691000,0.000009,-100.720481,0.000000,0.000000
691500,0.000007,-103.146661,0.000000,0.000000
692000,0.000008,-101.592141,0.000000,0.000000
692500,0.000012,-98.424889,0.000000,0.000000
693000,0.000012,-98.252985,0.000000,0.000000
693500,0.000012,-98.417611,0.000000,0.000000
694000,0.000010,-99.960869,0.000000,0.000000
694500,0.000004,-107.172092,0.000000,0.000000
695000,0.000010,-100.176723,0.000000,0.000000
695500,0.000011,-99.358085,0.000000,0.000000
696000,0.000005,-106.433978,0.000000,0.000000
696500,0.000012,-98.618094,0.000000,0.000000
697000,0.000014,-97.200695,0.000000,0.000000
697500,0.000017,-95.493434,0.000000,0.000000
698000,0.000013,-97.951225,0.000000,0.000000
698500,0.000014,-96.920054,0.000000,0.000000
699000,0.000006,-104.300705,0.000000,0.000000
699500,0.000006,-104.851532,0.000000,0.000000
700000,0.000006,-104.567392,0.000000,0.000000
700500,0.000005,-106.861325,0.000000,0.000000
701000,0.000004,-108.141624,0.000000,0.000000
701500,0.000005,-106.054983,0.000000,0.000000
702000,0.000004,-108.616212,0.000000,0.000000
702500,0.000005,-106.170091,0.000000,0.000000
703000,0.000004,-107.651495,0.000000,0.000000
703500,0.000005,-105.498479,0.000000,0.000000
704000,0.000007,-103.207395,0.000000,0.000000
704500,0.000005,-106.713693,0.000000,0.000000
705000,0.000006,-105.070247,0.000000,0.000000
705500,0.000004,-108.209022,0.000000,0.000000
706000,0.000004,-108.594216,0.000000,0.000000
706500,0.000004,-107.247088,0.000000,0.000000
707000,0.000004,-107.545280,0.000000,0.000000
707500,0.000004,-108.844716,0.000000,0.000000
708000,0.000004,-109.109135,0.000000,0.000000
708500,0.000004,-108.547898,0.000000,0.000000
709000,0.000004,-108.600554,0.000000,0.000000
709500,0.000004,-108.885229,0.000000,0.000000
710000,0.000004,-108.654696,0.000000,0.000000
710500,0.000004,-108.167020,0.000000,0.000000
711000,0.000007,-102.993564,0.000000,0.000000
711500,0.000010,-99.587426,0.000000,0.000000
712000,0.000013,-97.938108,0.000000,0.000000
712500,0.000006,-104.143876,0.000000,0.000000
713000,0.000008,-101.603885,0.000000,0.000000
713500,0.000008,-101.846742,0.000000,0.000000
714000,0.000004,-107.926240,0.000000,0.000000
714500,0.000005,-106.354293,0.000000,0.000000
715000,0.000005,-106.596994,0.000000,0.000000
715500,0.000004,-107.953146,0.000000,0.000000
716000,0.000004,-107.879202,0.000000,0.000000
716500,0.000005,-106.586934,0.000000,0.000000
717000,0.000005,-106.417209,0.000000,0.000000
717500,0.000004,-107.604849,0.000000,0.000000
718000,0.000003,-109.145275,0.000000,0.000000
718500,0.000004,-108.729295,0.000000,0.000000
719000,0.000004,-108.857485,0.000000,0.000000
719500,0.000005,-106.547262,0.000000,0.000000
720000,0.000004,-107.250068,0.000000,0.000000
720500,0.000004,-107.996555,0.000000,0.000000
721000,0.000004,-108.688718,0.000000,0.000000
721500,0.000005,-106.645247,0.000000,0.000000
722000,0.000005,-106.333198,0.000000,0.000000
722500,0.000004,-108.711783,0.000000,0.000000
723000,0.000004,-108.707366,0.000000,0.000000
723500,0.000004,-108.715608,0.000000,0.000000
724000,0.000007,-102.644798,0.000000,0.000000
724500,0.000019,-94.576291,0.000000,0.000000
725000,0.000019,-94.642644,2.000000,0.000000
725500,0.000016,-95.820948,0.000000,0.000000
726000,0.000005,-106.903333,0.000000,0.000000
726500,0.000005,-106.222840,0.000000,0.000000
727000,0.000005,-105.906093,0.000000,0.000000
727500,0.000006,-104.766852,0.000000,0.000000
728000,0.000006,-104.596568,0.000000,0.000000
728500,0.000100,-79.972604,2.000000,0.000000
729000,0.000023,-92.821644,0.000000,0.000000
729500,0.000017,-95.558980,0.000000,0.000000
730000,0.000011,-98.971630,0.000000,0.000000
730500,0.000006,-103.852746,0.000000,0.000000
731000,0.000027,-91.346544,2.000000,0.000000
731500,0.000208,-73.633276,4.000000,0.054669
732000,0.000181,-74.863129,2.000000,0.005475
732500,0.000039,-88.071151,0.000000,0.000000
733000,0.000050,-85.979218,0.000000,0.000000
733500,0.000062,-84.184925,0.000000,0.000000
734000,0.000120,-78.387144,4.000000,0.000000
734500,0.000120,-78.383552,4.000000,0.000000
735000,0.000041,-87.800953,2.000000,0.000000
735500,0.000024,-92.370507,2.000000,0.000000
736000,0.000020,-93.894173,0.000000,0.000000
736500,0.001616,-55.829063,2.000000,0.766837
737000,0.001824,-54.778670,8.000000,0.808853
737500,0.000517,-65.734678,10.000000,0.370613
738000,0.000435,-67.226799,10.000000,0.310928
738500,0.002171,-53.267928,2.000000,0.869283
739000,0.000367,-68.715284,0.000000,0.251389
739500,0.000975,-60.221851,2.000000,0.591126
740000,0.001924,-54.315117,8.000000,0.827395
740500,0.002700,-51.372238,0.000000,0.945110
741000,0.000377,-68.465264,0.000000,0.261389
741500,0.000061,-84.269283,0.000000,0.000000
742000,0.001393,-57.122942,10.000000,0.715082
742500,0.002317,-52.702393,8.000000,0.891904
743000,0.001966,-54.127409,8.000000,0.834904
743500,0.001432,-56.882629,10.000000,0.724695
744000,0.001183,-58.537212,8.000000,0.658512
744500,0.000698,-63.127230,10.000000,0.474911
745000,0.000725,-62.793352,8.000000,0.488266
745500,0.000402,-67.909766,8.000000,0.283609
746000,0.000530,-65.514908,6.000000,0.379404
746500,0.001540,-56.252269,10.000000,0.749909
747000,0.001121,-59.005921,6.000000,0.639763
747500,0.001468,-56.665522,8.000000,0.733379
748000,0.001129,-58.947511,8.000000,0.642100
748500,0.001424,-56.928254,6.000000,0.722870
749000,0.000630,-64.009026,10.000000,0.439639
749500,0.000984,-60.143677,6.000000,0.594253
750000,0.000146,-76.726856,2.000000,0.000000
750500,0.000042,-87.579680,0.000000,0.000000
